Entity,latitude,longitude,1960Perc_Urban,1970Perc_Urban,1980Perc_Urban,1990Perc_Urban,2000Perc_Urban,2010Perc_Urban,2017Perc_Urban,,,,,,,,,,,,,,,,,,,,
Myanmar,21.91,95.96,19.23,22.83,23.97,25.24,27.03,28.89,30.32,,,,,,,,,,,,,,,,,,,,
Namibia,-22.96,18.49,17.91,22.29,25.07,27.66,32.37,41.62,49.01,,,,,,,,,,,,,,,,,,,,
Nauru,-0.52,166.93,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,
Nepal,28.39,84.12,3.48,3.96,6.09,8.85,13.40,16.77,19.34,,,,,,,,,,,,,,,,,,,,
Netherlands,52.13,5.29,59.75,61.66,64.74,68.68,76.80,87.13,91.08,,,,,,,,,,,,,,,,,,,,
New Caledonia,-20.90,165.62,37.36,51.23,57.43,59.58,61.92,67.10,70.26,,,,,,,,,,,,,,,,,,,,
New Zealand,-40.90,174.89,76.00,81.11,83.43,84.74,86.02,86.16,86.47,,,,,,,,,,,,,,,,,,,,
Nicaragua,12.87,-85.21,39.58,47.03,50.29,53.08,55.18,56.92,58.30,,,,,,,,,,,,,,,,,,,,
Niger,17.61,8.08,5.79,8.79,13.44,15.37,16.19,16.22,16.35,,,,,,,,,,,,,,,,,,,,
Nigeria,9.08,8.68,15.41,17.76,21.97,29.68,34.84,43.48,49.52,,,,,,,,,,,,,,,,,,,,
North Korea,40.34,127.51,40.20,54.20,56.90,58.38,59.41,60.38,61.68,,,,,,,,,,,,,,,,,,,,
North Macedonia,41.61,21.74,34.02,47.08,53.47,57.79,58.55,57.09,57.75,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,17.33,145.38,51.22,70.06,86.78,89.73,90.15,90.95,91.53,,,,,,,,,,,,,,,,,,,,
Norway,60.47,8.47,49.92,65.40,70.55,71.96,76.02,79.10,81.87,,,,,,,,,,,,,,,,,,,,
Oman,21.51,55.92,16.40,29.67,47.56,66.10,71.57,75.16,83.56,,,,,,,,,,,,,,,,,,,,
Pakistan,30.38,69.35,22.10,24.82,28.07,30.58,32.98,35.00,36.44,,,,,,,,,,,,,,,,,,,,
Palau,7.51,134.58,56.82,59.71,62.54,69.59,70.34,74.82,79.36,,,,,,,,,,,,,,,,,,,,
Panama,8.54,-80.78,41.25,47.64,50.45,53.90,62.20,65.14,67.36,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,-6.31,143.96,3.73,9.80,13.05,14.99,13.20,13.02,13.10,,,,,,,,,,,,,,,,,,,,
Paraguay,-23.44,-58.44,35.57,37.06,41.69,48.69,55.33,59.26,61.30,,,,,,,,,,,,,,,,,,,,
Peru,-9.19,-75.02,46.81,57.41,64.57,68.90,73.04,76.43,77.72,,,,,,,,,,,,,,,,,,,,
Philippines,12.88,121.77,30.30,32.98,37.46,46.99,46.13,45.33,46.68,,,,,,,,,,,,,,,,,,,,
Poland,51.92,19.15,47.89,52.12,58.09,61.27,61.72,60.89,60.10,,,,,,,,,,,,,,,,,,,,
Portugal,39.40,-8.22,34.96,38.80,42.79,47.92,54.40,60.57,64.65,,,,,,,,,,,,,,,,,,,,
Puerto Rico,18.22,-66.59,44.55,58.33,67.83,92.94,94.39,93.83,93.59,,,,,,,,,,,,,,,,,,,,
Qatar,25.35,51.18,85.28,88.35,89.36,92.79,96.31,98.50,99.08,,,,,,,,,,,,,,,,,,,,
Romania,45.94,24.97,34.21,40.32,46.07,53.22,53.00,53.83,53.94,,,,,,,,,,,,,,,,,,,,
Russia,61.52,105.32,53.73,62.47,69.75,73.39,73.35,73.69,74.29,,,,,,,,,,,,,,,,,,,,
Rwanda,-1.94,29.87,2.60,3.19,4.72,5.42,14.93,16.93,17.13,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,17.36,-62.78,27.64,34.14,35.88,34.61,32.78,31.32,30.77,,,,,,,,,,,,,,,,,,,,
Saint Lucia,13.91,-60.98,21.46,23.91,26.54,29.35,27.77,18.45,18.61,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,12.98,-61.29,25.94,30.68,35.87,41.41,45.19,48.96,51.78,,,,,,,,,,,,,,,,,,,,
Samoa,-13.76,-172.10,18.93,20.35,21.17,21.20,21.98,20.08,18.45,,,,,,,,,,,,,,,,,,,,
San Marino,43.94,12.46,48.90,59.80,81.23,90.40,93.44,95.74,97.07,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,0.19,6.61,16.07,29.52,33.48,43.65,53.42,64.95,71.97,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,23.89,45.08,31.25,48.67,65.86,76.58,79.85,82.08,83.62,,,,,,,,,,,,,,,,,,,,
Senegal,14.50,-14.45,23.00,30.00,35.77,38.90,40.32,43.77,46.74,,,,,,,,,,,,,,,,,,,,
Seychelles,-4.68,55.49,27.67,39.07,49.37,49.27,50.43,53.34,56.26,,,,,,,,,,,,,,,,,,,,
Sierra Leone,8.46,-11.78,17.35,23.97,29.82,33.25,35.63,38.86,41.64,,,,,,,,,,,,,,,,,,,,
Singapore,1.35,103.82,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,
Slovakia,48.67,19.70,33.46,41.06,51.64,56.49,56.23,54.68,53.75,,,,,,,,,,,,,,,,,,,,
Slovenia,46.15,15.00,28.20,37.00,48.05,50.39,50.75,52.66,54.27,,,,,,,,,,,,,,,,,,,,
Solomon Islands,-9.65,160.16,5.77,8.92,10.58,13.68,15.81,20.05,23.29,,,,,,,,,,,,,,,,,,,,
Somalia,5.15,46.20,17.31,22.68,26.76,29.66,33.25,39.31,44.39,,,,,,,,,,,,,,,,,,,,
South Africa,-30.56,22.94,46.62,47.81,48.42,52.04,56.89,62.22,65.85,,,,,,,,,,,,,,,,,,,,
South Korea,35.91,127.77,27.71,40.70,56.72,73.84,79.62,81.94,81.50,,,,,,,,,,,,,,,,,,,,
South Sudan,7.86,29.69,8.75,8.63,8.52,13.28,16.50,17.86,19.35,,,,,,,,,,,,,,,,,,,,
Spain,40.46,-3.75,56.57,66.04,72.79,75.35,76.26,78.44,80.08,,,,,,,,,,,,,,,,,,,,
Sri Lanka,7.87,80.77,16.43,17.60,18.61,18.53,18.38,18.23,18.38,,,,,,,,,,,,,,,,,,,,
Sudan,12.86,30.22,10.75,16.52,19.96,28.61,32.49,33.09,34.37,,,,,,,,,,,,,,,,,,,,
Suriname,3.92,-56.03,47.26,45.95,64.96,65.71,66.44,66.34,66.04,,,,,,,,,,,,,,,,,,,,
Swaziland,-26.52,31.47,3.91,9.71,16.48,20.20,22.69,22.48,23.63,,,,,,,,,,,,,,,,,,,,
Sweden,60.13,18.64,72.49,81.03,83.09,83.10,84.03,85.06,87.15,,,,,,,,,,,,,,,,,,,,
Switzerland,46.82,8.23,70.92,73.84,74.48,73.93,73.38,73.61,73.76,,,,,,,,,,,,,,,,,,,,
Syria,34.80,39.00,36.81,43.35,46.71,48.93,51.95,55.60,53.50,,,,,,,,,,,,,,,,,,,,
Tajikistan,38.86,71.28,33.17,36.88,34.29,31.66,26.50,26.52,26.98,,,,,,,,,,,,,,,,,,,,
Tanzania,-6.37,34.89,5.25,7.85,14.56,18.88,22.31,28.11,33.05,,,,,,,,,,,,,,,,,,,,
Thailand,15.87,100.99,19.67,20.89,26.79,29.42,31.39,43.86,49.20,,,,,,,,,,,,,,,,,,,,
Timor,-8.87,125.73,10.09,12.89,16.48,20.84,24.26,27.73,30.21,,,,,,,,,,,,,,,,,,,,
Togo,8.62,0.82,10.10,21.28,24.66,28.59,32.91,37.53,41.16,,,,,,,,,,,,,,,,,,,,
Tonga,-21.18,-175.20,17.55,20.19,21.15,22.70,23.01,23.39,23.17,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,10.69,-61.22,34.15,43.03,52.28,54.12,55.90,54.02,53.21,,,,,,,,,,,,,,,,,,,,
Tunisia,33.89,9.54,37.51,43.48,50.57,57.95,63.43,66.66,68.64,,,,,,,,,,,,,,,,,,,,
Turkey,38.96,35.24,31.51,38.23,43.78,59.20,64.74,70.83,74.64,,,,,,,,,,,,,,,,,,,,
Turkmenistan,38.97,59.56,46.41,47.78,47.08,45.08,45.91,48.49,51.15,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,21.69,-71.80,47.68,51.11,55.26,74.34,84.55,90.23,92.82,,,,,,,,,,,,,,,,,,,,
Tuvalu,-7.11,177.65,15.89,22.09,29.82,40.66,46.02,54.80,61.53,,,,,,,,,,,,,,,,,,,,
Uganda,1.37,32.29,4.42,6.66,7.53,11.08,14.79,19.38,23.20,,,,,,,,,,,,,,,,,,,,
Ukraine,48.38,31.17,46.79,54.83,61.69,66.76,67.14,68.60,69.25,,,,,,,,,,,,,,,,,,,,
